method,path,backend_status,body_size,statediff_size,body
DELETE,/api/books/30,200,0,1254,
POST,/api/books,200,54,641,"{""title"":""Test Book 1_30"",""author"":""Test Author 1_30""}"
GET,/api/books/31,200,0,87,
PUT,/api/books/31,200,70,1237,"{""title"":""Updated Test Book 1_30"",""author"":""Updated Test Author 1_30""}"
DELETE,/api/books/31,200,0,1231,
POST,/api/books,200,54,676,"{""title"":""Test Book 1_31"",""author"":""Test Author 1_31""}"
GET,/api/books/32,200,0,87,
PUT,/api/books/32,200,70,1216,"{""title"":""Updated Test Book 1_31"",""author"":""Updated Test Author 1_31""}"
DELETE,/api/books/32,200,0,1236,
POST,/api/books,200,54,672,"{""title"":""Test Book 1_32"",""author"":""Test Author 1_32""}"
GET,/api/books/33,200,0,87,
PUT,/api/books/33,200,70,1222,"{""title"":""Updated Test Book 1_32"",""author"":""Updated Test Author 1_32""}"
DELETE,/api/books/33,200,0,1178,
POST,/api/books,200,54,655,"{""title"":""Test Book 1_33"",""author"":""Test Author 1_33""}"
GET,/api/books/34,200,0,87,
PUT,/api/books/34,200,70,1258,"{""title"":""Updated Test Book 1_33"",""author"":""Updated Test Author 1_33""}"
DELETE,/api/books/34,200,0,1346,
POST,/api/books,200,54,669,"{""title"":""Test Book 1_34"",""author"":""Test Author 1_34""}"
GET,/api/books/35,200,0,87,
PUT,/api/books/35,200,70,1393,"{""title"":""Updated Test Book 1_34"",""author"":""Updated Test Author 1_34""}"
DELETE,/api/books/35,200,0,1232,
POST,/api/books,200,54,682,"{""title"":""Test Book 1_35"",""author"":""Test Author 1_35""}"
GET,/api/books/36,200,0,87,
PUT,/api/books/36,200,70,1278,"{""title"":""Updated Test Book 1_35"",""author"":""Updated Test Author 1_35""}"
DELETE,/api/books/36,200,0,1222,
POST,/api/books,200,54,671,"{""title"":""Test Book 1_36"",""author"":""Test Author 1_36""}"
GET,/api/books/37,200,0,87,
PUT,/api/books/37,200,70,1244,"{""title"":""Updated Test Book 1_36"",""author"":""Updated Test Author 1_36""}"
DELETE,/api/books/37,200,0,2157,
POST,/api/books,200,54,674,"{""title"":""Test Book 1_37"",""author"":""Test Author 1_37""}"
GET,/api/books/38,200,0,87,
PUT,/api/books/38,200,70,1246,"{""title"":""Updated Test Book 1_37"",""author"":""Updated Test Author 1_37""}"
DELETE,/api/books/38,200,0,1218,
POST,/api/books,200,54,673,"{""title"":""Test Book 1_38"",""author"":""Test Author 1_38""}"
