method,path,backend_status,body_size,statediff_size,body
PUT,/api/books/3538,200,70,606,"{""title"":""Updated Test Book 1_65"",""author"":""Updated Test Author 1_65""}"
DELETE,/api/books/3538,200,0,587,
POST,/api/books,200,54,12502,"{""title"":""Test Book 1_66"",""author"":""Test Author 1_66""}"
GET,/api/books/3539,200,0,12,
PUT,/api/books/3539,200,70,605,"{""title"":""Updated Test Book 1_66"",""author"":""Updated Test Author 1_66""}"
DELETE,/api/books/3539,200,0,627,
POST,/api/books,200,54,435,"{""title"":""Test Book 1_67"",""author"":""Test Author 1_67""}"
GET,/api/books/3540,200,0,65,
PUT,/api/books/3540,200,70,15494,"{""title"":""Updated Test Book 1_67"",""author"":""Updated Test Author 1_67""}"
DELETE,/api/books/3540,200,0,616,
